yaw delta=359.71 , 359.71
corrected yaw=359.72 , 359.68
yaw delta=359.68 , 359.68
corrected yaw=359.72 , 359.68
yaw delta=359.68 , 359.68
corrected yaw=359.71 , 359.67
yaw delta=359.67 , 359.67
corrected yaw=359.71 , 359.66
yaw delta=359.66 , 359.66
corrected yaw=359.77 , 359.73
yaw delta=359.73 , 359.73
corrected yaw=359.81 , 359.79
yaw delta=359.79 , 359.79
corrected yaw=359.85 , 359.83
yaw delta=359.83 , 359.83
corrected yaw=359.90 , 359.89
yaw delta=359.89 , 359.89
corrected yaw=359.95 , 359.94
yaw delta=359.94 , 359.94
corrected yaw=359.93 , 359.92
yaw delta=359.92 , 359.92
corrected yaw=359.92 , 359.91
yaw delta=359.91 , 359.91
corrected yaw=359.92 , 359.91
yaw delta=359.91 , 359.91
corrected yaw=360.00 , 360.00
yaw delta=360.00 , 360.00
corrected yaw=0.05 , 0.05
yaw delta=0.05 , 0.05
corrected yaw=0.01 , 0.01
yaw delta=0.01 , 0.01
corrected yaw=359.99 , 359.99
yaw delta=359.99 , 359.99
corrected yaw=0.03 , 0.03
yaw delta=0.03 , 0.03
corrected yaw=0.05 , 0.05
yaw delta=0.05 , 0.05
corrected yaw=0.06 , 0.06
yaw delta=0.06 , 0.06
corrected yaw=0.16 , 0.15
yaw delta=0.15 , 0.15
corrected yaw=0.24 , 0.23
yaw delta=0.23 , 0.23
corrected yaw=0.21 , 0.20
yaw delta=0.20 , 0.20
corrected yaw=0.21 , 0.19
yaw delta=0.19 , 0.19
corrected yaw=0.21 , 0.20
yaw delta=0.20 , 0.20
corrected yaw=0.22 , 0.21
yaw delta=0.21 , 0.21
corrected yaw=0.23 , 0.21
yaw delta=0.21 , 0.21
corrected yaw=0.30 , 0.28
yaw delta=0.28 , 0.28
corrected yaw=0.34 , 0.32
yaw delta=0.32 , 0.32
corrected yaw=0.32 , 0.30
yaw delta=0.30 , 0.30
corrected yaw=0.32 , 0.29
yaw delta=0.29 , 0.29
corrected yaw=0.31 , 0.29
yaw delta=0.29 , 0.29
corrected yaw=0.37 , 0.35
yaw delta=0.35 , 0.35
corrected yaw=0.41 , 0.39
yaw delta=0.39 , 0.39
corrected yaw=0.43 , 0.40
yaw delta=0.40 , 0.40
corrected yaw=0.46 , 0.43
yaw delta=0.43 , 0.43
corrected yaw=0.45 , 0.42
yaw delta=0.42 , 0.42
corrected yaw=0.46 , 0.43
yaw delta=0.43 , 0.43
corrected yaw=0.47 , 0.44
yaw delta=0.44 , 0.44
corrected yaw=0.52 , 0.48
yaw delta=0.48 , 0.48
corrected yaw=0.55 , 0.51
yaw delta=0.51 , 0.51
corrected yaw=0.53 , 0.50
yaw delta=0.50 , 0.50
corrected yaw=0.54 , 0.50
yaw delta=0.50 , 0.50
corrected yaw=0.55 , 0.51
yaw delta=0.51 , 0.51
corrected yaw=0.55 , 0.52
yaw delta=0.52 , 0.52
corrected yaw=0.56 , 0.52
yaw delta=0.52 , 0.52
corrected yaw=0.50 , 0.47
yaw delta=0.47 , 0.47
corrected yaw=0.46 , 0.43
yaw delta=0.43 , 0.43
corrected yaw=0.40 , 0.37
yaw delta=0.37 , 0.37
corrected yaw=0.33 , 0.31
yaw delta=0.31 , 0.31
corrected yaw=0.29 , 0.27
yaw delta=0.27 , 0.27
corrected yaw=0.24 , 0.23
yaw delta=0.23 , 0.23
corrected yaw=0.20 , 0.18
yaw delta=0.18 , 0.18
corrected yaw=0.18 , 0.17
yaw delta=0.17 , 0.17
corrected yaw=0.16 , 0.14
yaw delta=0.14 , 0.14
corrected yaw=0.14 , 0.13
yaw delta=0.13 , 0.13
corrected yaw=0.12 , 0.11
yaw delta=0.11 , 0.11
