33.68,2.69,0.54,0.70,0.62
32.28,3.11,0.45,0.72,0.54
34.84,13.32,0.53,0.93,0.59
32.24,5.76,0.50,0.94,0.59
32.42,5.37,0.53,0.91,0.62
31.51,8.95,0.50,0.59,0.57,52.63,149.87,243.54,0.00
31.65,9.29,0.55,0.65,0.59,47.42,143.76,243.91,329.19
